bin,E_bin_MeV,Chi_for_bin_nSv_h_per_cps
2,-0.0401654676258993,
3,-0.039246402877697796,
4,-0.038327338129496395,
5,-0.037408273381294994,
6,-0.036489208633093496,
7,-0.035570143884892,
8,-0.0346510791366906,
9,-0.0337320143884891,
10,-0.0328129496402877,
11,-0.0318938848920862,
12,-0.0309748201438848,
13,-0.0300557553956834,
14,-0.029136690647481898,
15,-0.0282176258992805,
16,-0.0272985611510791,
17,-0.026379496402877598,
18,-0.0254604316546762,
19,-0.0245413669064748,
20,-0.0236223021582733,
21,-0.0227032374100719,
22,-0.0217841726618705,
23,-0.020865107913669,
24,-0.0199460431654676,
25,-0.0190269784172661,
26,-0.0181079136690647,
27,-0.017188848920863302,
28,-0.0162697841726618,
29,-0.015350719424460401,
30,-0.014431654676259,
31,-0.013512589928057499,
32,-0.0125935251798561,
33,-0.0116744604316547,
34,-0.0107553956834532,
35,-0.00983633093525179,
36,-0.008917266187050361,
37,-0.007998201438848919,
38,-0.00707913669064749,
39,-0.0061600719424460505,
40,-0.00524100719424462,
41,-0.00432194244604318,
42,-0.00340287769784175,
43,-0.0024838129496402,
44,-0.00156474820143876,
45,-0.000645683453237325,
46,0.00027338129496411103,
47,0.00119244604316555,
48,0.00211151079136698,
49,0.00303057553956842,
50,0.00394964028776985,
51,0.00486870503597129,
52,0.00578776978417272,
53,0.00670683453237416,
54,0.007625899280575599,
55,0.008544964028777031,
56,0.00946402877697847,
57,0.0103830935251799,
58,0.0113021582733813,
59,0.0122212230215828,
60,0.0131402877697842,
61,0.0140593525179856,
62,0.0149784172661871,
63,0.0158974820143885,
64,0.01681654676259,
65,0.0177356115107914,
66,0.0186546762589928,
67,0.0195737410071943,
68,0.0204928057553957,
69,0.0214118705035971,
70,0.0223309352517986,
71,0.02325,
72,0.0241690647482014,
73,0.0250881294964029,
74,0.0260071942446043,
75,0.0269262589928057,
76,0.027845323741007198,
77,0.0287643884892086,
78,0.029683453237410198,
79,0.0306025179856116,
80,0.031521582733812996,
81,0.0324406474820145,
82,0.033359712230215895,
83,0.034278776978417295,
84,0.0351978417266188,
85,0.036116906474820194,
86,0.037035971223021595,
87,0.0379550359712231,
88,0.038874100719424494,
89,0.039793165467626,
90,0.0407122302158274,
91,0.041631294964028794,
92,0.042550359712230305,
93,0.043469424460431706,
94,0.0443884892086331,
95,0.045307553956834605,
96,0.046226618705036006,
97,0.0471456834532374,
98,0.048064748201438905,
99,0.048983812949640305,
100,0.0499028776978417,
101,0.050821942446043204,0.22491866191187038
102,0.051741007194244605,0.22250671357553956
103,0.0526600719424461,0.2201336004964027
104,0.053579136690647504,0.21779919867266181
105,0.054498201438848905,0.2155033829280576
106,0.0554172661870504,0.21324602923740996
107,0.056336330935251804,0.21102701426258993
108,0.057255395683453204,0.20884621458992814
109,0.0581744604316547,0.20670350778776975
110,0.0590935251798561,0.20459876986330935
111,0.060012589928057504,0.2025318781762591
112,0.060931654676259,0.20050577604316544
113,0.0618507194244605,0.1985178167661869
114,0.062769784172662,0.19656731192805726
115,0.0636888489208634,0.1946541396205034
116,0.0646079136690648,0.19277817915107903
117,0.0655269784172663,0.19093931012589904
118,0.0664460431654677,0.18913741125899267
119,0.0673651079136691,0.18737236173741
120,0.0682841726618706,0.18564404192446027
121,0.069203237410072,0.18395233198021574
122,0.0701223021582734,0.18229711163309348
123,0.0710413669064749,0.18067826137050344
124,0.0719604316546763,0.17909736890647474
125,0.0728794964028778,0.17755437130395665
126,0.0737985611510792,0.17604736241007182
127,0.0747176258992806,0.1745762241420863
128,0.0756366906474821,0.1731408383776977
129,0.0765557553956835,0.17174108699460425
130,0.0774748201438849,0.1703768523453237
131,0.0783938848920864,0.169048017458633
132,0.0793129496402878,0.16775446541366903
133,0.0802320143884892,0.16649607907733813
134,0.0811510791366907,0.1652727419928057
135,0.0820701438848921,0.16408433823920862
136,0.0829892086330935,0.16293119780935256
137,0.083908273381295,0.16181564808992802
138,0.0848273381294964,0.16073465945323742
139,0.0857464028776979,0.15968811754136683
140,0.0866654676258993,0.15867590602158269
141,0.0875845323741007,0.1576979112086331
142,0.0885035971223022,0.15675401876978412
143,0.0894226618705036,0.15584411403417267
144,0.090341726618705,0.1549680833489209
145,0.0912607913669065,0.15412581337050357
146,0.0921798561151079,0.15331719012230216
147,0.0930989208633093,0.15254210068345328
148,0.0940179856115108,0.15180043152877695
149,0.0949370503597123,0.15109456314928055
150,0.0958561151079138,0.15042258066187042
151,0.0967751798561152,0.1497836574514388
152,0.0976942446043166,0.14917768284172658
153,0.0986133093525181,0.14860454444244597
154,0.0995323741007195,0.14806413102877694
155,0.10045143884892101,0.1475563315989208
156,0.10137050359712199,0.1470810348453239
157,0.102289568345324,0.14663813032913656
158,0.103208633093525,0.14622750838848927
159,0.104127697841727,0.14584905797122286
160,0.105046762589928,0.14550266937769785
161,0.10596582733813,0.1451895320701437
162,0.10688489208633101,0.14490999588489206
163,0.107803956834532,0.14466217018705047
164,0.108723021582734,0.1444459466978417
165,0.109642086330935,0.14426121649640294
166,0.110561151079137,0.14410787166906472
167,0.111480215827338,0.14398580325359714
168,0.11239928057554001,0.14389490345323738
169,0.113318345323741,0.14383506562410073
170,0.11423741007194199,0.14380618200719425
171,0.115156474820144,0.14380814479316545
172,0.11607553956834499,0.14384084789928053
173,0.116994604316547,0.14390438100719424
174,0.11791366906474801,0.14400117897841727
175,0.11883273381295,0.14412837498561157
176,0.11975179856115101,0.1442858637733813
177,0.12067086330935299,0.1444735394208634
178,0.121589928057554,0.14469129592086333
179,0.122508992805755,0.14493902879316534
180,0.123428057553957,0.14521663344604321
181,0.124347122302158,0.1455240046294963
182,0.12526618705036,0.14586103789208643
183,0.126185251798561,0.14622762988489202
184,0.127104316546763,0.1466236761151081
185,0.128023381294964,0.14704907213669063
186,0.12894244604316601,0.1475057149712233
187,0.129861510791367,0.14799229616726622
188,0.13078057553956798,0.14850789626258973
189,0.13169964028776998,0.14905241222122315
190,0.132618705035971,0.1496257416834531
191,0.133537769784173,0.1502277824280578
192,0.13445683453237398,0.1508584331474819
193,0.135375899280576,0.1515175916312953
194,0.136294964028777,0.1522051559136691
195,0.13721402877697803,0.15292102594604284
196,0.13813309352518,0.15366509964028788
197,0.139052158273381,0.15443727568884863
198,0.139971223021583,0.15523841248201461
199,0.14089028776978402,0.15606917271043153
200,0.14180935251798601,0.15692771321582774
201,0.14272841726618699,0.15781393474820138
202,0.143647482014389,0.15872773746762645
203,0.14456654676259,0.1596690219910073
204,0.14548561151079098,0.16063768961151037
205,0.146404676258993,0.1616336410845326
206,0.147323741007194,0.16265677775539542
207,0.148242805755396,0.16370700173201475
208,0.149161870503597,0.16478421371223007
209,0.150080935251799,0.16588831661330988
210,0.151,0.167019212
211,0.151919064748202,0.16817936948920933
212,0.15283812949640302,0.1693661040647484
213,0.153757194244604,0.17057931956294922
214,0.154676258992806,0.17181891779136724
215,0.155595323741007,0.17308480329136666
216,0.156514388489209,0.17437687987050415
217,0.15743345323740998,0.17569505060791354
218,0.158352517985612,0.17703921999280647
219,0.159271582733813,0.17840929304676267
220,0.16019064748201398,0.17980517323021517
221,0.161109712230216,0.18122676535611537
222,0.162028776978417,0.18267397550359668
223,0.162947841726619,0.18414829046223066
224,0.16386690647482002,0.1856488882913667
225,0.164785971223022,0.18717480064208702
226,0.165705035971223,0.18872593302158266
227,0.16662410071942402,0.19030219078057475
228,0.16754316546762602,0.19190348144244623
229,0.16846223021582699,0.1935297110755389
230,0.16938129496402898,0.19518078656115143
231,0.17030035971223,0.19685661553417225
232,0.171219424460432,0.1985571044424467
233,0.17213848920863298,0.20028216186870484
234,0.173057553956835,0.20203169415108008
235,0.173976618705036,0.20380628778237417
236,0.174895683453237,0.2056068284676251
237,0.175814748201439,0.20743154952697873
238,0.17673381294964,0.20928036005035916
239,0.177652877697842,0.211153169174461
240,0.17857194244604302,0.21304988603597094
241,0.179491007194245,0.21497041977158354
242,0.180410071942446,0.21691467992805744
243,0.181329136690648,0.21888257672841843
244,0.182248201438849,0.2208740200791369
245,0.18316726618704998,0.22288891919604234
246,0.184086330935252,0.22492718598561198
247,0.185005395683453,0.2269887303471218
248,0.185924460431655,0.22907554314028852
249,0.18684352517985597,0.23118558661690614
250,0.187762589928058,0.23331862143165571
251,0.188681654676259,0.23547456020503596
252,0.18960071942446002,0.23765331465827239
253,0.19051978417266202,0.2398547967194248
254,0.191438848920863,0.24207891811510712
255,0.192357913669065,0.24432559168525236
256,0.19327697841726602,0.24659473075899235
257,0.194196043165468,0.2488862471366916
258,0.19511510791366898,0.2512000539712228
259,0.196034172661871,0.25353606559712355
260,0.196953237410072,0.25589542244604335
261,0.19787230215827298,0.2582776946726608
262,0.198791366906475,0.26068189355395727
263,0.199710431654676,0.2631079334334525
264,0.200629496402878,0.2655557287482022
265,0.20154856115107903,0.2680251939352515
266,0.202467625899281,0.2705162443669076
267,0.203386690647482,0.273028795221223
268,0.20430575539568302,0.27556276124100604
269,0.20522482014388502,0.2781180580701443
270,0.206143884892086,0.2806946019856106
271,0.20706294964028799,0.28329230761331
272,0.207982014388489,0.28591154196762536
273,0.208901079136691,0.2885533357392097
274,0.20982014388489198,0.29121602352517956
275,0.210739208633094,0.29389952131295105
276,0.211658273381295,0.29660374637050374
277,0.212577338129496,0.2993286161636679
278,0.213496402877698,0.302074047661871
279,0.214415467625899,0.3048399584046754
280,0.215334532374101,0.3076262662805764
281,0.21625359712230202,0.3104328892625895
282,0.217172661870504,0.31325974598561274
283,0.218091726618705,0.3161067541906474
284,0.21901079136690602,0.3189738335827324
285,0.219929856115108,0.3218625662122305
286,0.22084892086330898,0.32477144797841606
287,0.22176798561151098,0.32770013980575596
288,0.222687050359712,0.33064856129136616
289,0.223606115107914,0.33361663217266296
290,0.22452517985611498,0.33660427271222976
291,0.225444244604317,0.33961140296043313
292,0.226363309352518,0.34263794301798567
293,0.227282374100719,0.34568381366186907
294,0.228201438848921,0.3487489357410076
295,0.229120503597122,0.35183322935431544
296,0.230039568345324,0.35493661643165547
297,0.23095863309352502,0.3580599513669059
298,0.23187769784172702,0.3612031029640301
299,0.23279676258992799,0.3643650957823738
300,0.23371582733813,0.367545851830937
301,0.234634892086331,0.3707452931187053
302,0.23555395683453198,0.37396334165467493
303,0.236473021582734,0.3771999203938856
304,0.237392086330935,0.3804549520755387
305,0.238311151079137,0.3837283593309364
306,0.239230215827338,0.38702006568345276
307,0.24014928057554,0.3903299945071958
308,0.241068345323741,0.3936580687733813
309,0.24198741007194202,0.39700448369963875
310,0.24290647482014402,0.40037034794964077
311,0.243825539568345,0.4037541150287758
312,0.244744604316547,0.4071557070215836
313,0.245663669064748,0.4105750499190641
314,0.24658273381295,0.41401206852518124
315,0.24750179856115098,0.4174666871205032
316,0.248420863309353,0.4209388312482033
317,0.249339928057554,0.42442842644064765
318,0.25025899280575503,0.4279353977553943
319,0.251178057553957,0.4314596713884899
320,0.25209712230215797,0.4350011726690636
321,0.25301618705036,0.43855982887410183
322,0.253935251798561,0.4421368785035966
323,0.254854316546763,0.44573124854676416
324,0.255773381294964,0.449342537356115
325,0.256692446043165,0.4529706709208614
326,0.25761151079136696,0.4566155768705038
327,0.25853057553956804,0.46027718274100593
328,0.25944964028777,0.4639554158417275
329,0.260368705035971,0.4676502038507184
330,0.261287769784173,0.4713614748345337
331,0.262206834532374,0.4750891568597117
332,0.263125899280576,0.4788331781187069
333,0.264044964028777,0.4825934673902877
334,0.264964028776978,0.486370644287768
335,0.26588309352518,0.49016480042446103
336,0.266802158273381,0.49397499507194115
337,0.267721223021583,0.4978011591816558
338,0.268640287769784,0.5016432206474812
339,0.26955935251798596,0.5055011101348935
340,0.27047841726618704,0.5093747571043165
341,0.271397482014389,0.5132640916097143
342,0.27231654676259,0.5171690442374102
343,0.273235611510791,0.5210895445179841
344,0.274154676258993,0.5250255237014395
345,0.27507374100719395,0.5289769133453224
346,0.275992805755396,0.532943773258994
347,0.276911870503597,0.5369272410701432
348,0.277830935251799,0.5409258964568364
349,0.27875,0.5449396727499999
350,0.27966906474820097,0.5489685006402856
351,0.280588129496403,0.5530123116420868
352,0.281507194244604,0.5570710391294951
353,0.28242625899280605,0.5611446150953251
354,0.283345323741007,0.5652329712589922
355,0.284264388489209,0.5693360407230232
356,0.28518345323741,0.5734537562805754
357,0.286102517985612,0.5775860512985633
358,0.28702158273381295,0.5817328591223022
359,0.28794064748201403,0.5858951296636675
360,0.288859712230216,0.5900721382517995
361,0.289778776978417,0.5942634455827326
362,0.290697841726619,0.5984689856618719
363,0.29161690647481997,0.6026886932302151
364,0.292535971223022,0.6069225026330956
365,0.293455035971223,0.6111703484496404
366,0.294374100719424,0.6154321651870482
367,0.295293165467626,0.619707887555756
368,0.296212230215827,0.6239974509820128
369,0.297131294964029,0.6283007904784185
370,0.29805035971223,0.6326178416834523
371,0.29896942446043195,0.6369490354064763
372,0.29988848920863304,0.6412946173237408
373,0.300807553956835,0.6456537056906498
374,0.301726618705036,0.6500262347841728
375,0.302645683453237,0.6544121419568326
376,0.30356474820143897,0.6588113639892093
377,0.30448381294964,0.6632238367931641
378,0.30540287769784197,0.6676494976187062
379,0.306321942446043,0.6720882838453229
380,0.307241007194245,0.6765401320755415
381,0.308160071942446,0.6810049804964027
382,0.30907913669064696,0.6854827657410046
383,0.309998201438849,0.689973453960432
384,0.31091726618705,0.6944781580071926
